하천명,연번,구분,구간_시점,구간_종점,유역_면적(제곱킬로미터),하천연장(킬로미터),제방_총연장,제방_개수,제방_미개수,개수율,데이터기준일자,위도,경도
탄천,1,지방하천,용인시계,서울시계,145.74,15.7,31.4,31.4,0.0,100.0,2022-09-01,37.415,127.120278
동막천,2,지방하천,석운천 합류부,탄천,29.34,7.12,8.3,2.35,5.95,28.3,2022-09-01,37.351111,127.080278
분당천,3,지방하천,분당동 200-2 보도5교,탄천,11.89,3.62,7.24,7.24,0.0,100.0,2022-09-01,37.375278,127.133611
운중천,4,지방하천,운중동 산86-8,탄천,24.91,8.0,16.0,13.87,2.13,86.7,2022-09-01,37.389167,127.0875
금토천,5,지방하천,내동 용서고속도로 하단,운중천,9.77,3.07,6.14,2.28,3.86,37.1,2022-09-01,37.401241,127.105522
야탑천,6,지방하천,"야탑동 168-8, 야탑1교(BOX) 종점",탄천,4.65,2.69,5.38,5.38,0.0,100.0,2022-09-01,37.408056,127.138889
여수천,7,지방하천,갈현동 354-1,야탑동 330,9.85,4.03,8.06,6.5,1.56,80.6,2022-09-01,37.415278,127.135278
상적천,8,지방하천,"고등동 527-1, 상적 6낙차공",탄천,11.04,2.54,5.08,5.08,0.0,100.0,2022-09-01,37.426944,127.103333
창곡천,9,소하천,창곡동 279,복정동 260-8,4.76,2.677,5.354,5.354,0.0,100.0,2022-09-01,37.469002,127.142096
복우천,10,소하천,창곡동 449-104,창곡동 449-270,1.68,0.35,0.7,0.7,0.0,100.0,2022-09-01,37.468871,127.148588
심곡천,11,소하천,심곡동 산28-4,심곡동 220-2,0.98,0.748,1.496,0.816,0.68,54.5,2022-09-01,37.44843,127.104567
등자천,12,소하천,고등동 산6-1,고등동 141-1,1.04,0.7,1.4,0.674,0.726,48.1,2022-09-01,37.427868,127.091668
상적천,13,소하천,상적동 404,상적동 130-5,5.23,1.78,3.56,3.1,0.46,87.1,2022-09-01,37.426944,127.103333
시흥천,14,소하천,시흥동 285-1,시흥동 131-1,2.39,2.1,4.2,2.288,1.912,54.5,2022-09-01,37.413532,127.100565
외동천,15,소하천,금토동 산50,시흥동 410-47,2.67,2.3,4.6,4.6,0.0,100.0,2022-09-01,37.417917,127.076261
금토천,16,소하천,금토동 560-14,금토동 산78-1,3.39,1.146,2.292,1.01,1.282,44.1,2022-09-01,37.404444,127.088056
보통천,18,소하천,상대원동 386,상대원동 378-13,0.48,0.45,0.9,0.9,0.0,100.0,2022-09-01,37.434618,127.180995
갈현천,19,소하천,갈현동 29-2,갈현동 389-2,3.16,2.4,4.8,3.76,1.04,78.3,2022-09-01,37.427868,127.172908
도촌천,20,소하천,도촌동 산54,도촌동 380-8,2.03,2.142,4.284,4.284,0.0,100.0,2022-09-01,37.419233,127.153108
이매1천,21,소하천,이매동 산49-1,이매동 388,0.38,0.991,1.982,1.756,0.226,88.6,2022-09-01,37.397586,127.134429
이매2천,22,소하천,이매동 30-1,이매동 94-1,0.87,0.571,1.142,1.142,0.0,100.0,2022-09-01,37.397616,127.130757
통도골천,23,소하천,서현동 145-3,서현동 산63-6,0.97,0.663,1.326,0.838,0.488,63.2,2022-09-01,37.381367,127.135206
중간말천,24,소하천,율동 53,율동 350-1,3.92,1.35,2.7,1.588,1.112,58.8,2022-09-01,37.385674,127.154664
새마을천,25,소하천,율동 191,율동 99,1.3,0.511,1.022,0.712,0.31,69.7,2022-09-01,37.384582,127.153448
백현1천,26,소하천,백현동 산71-11,백현동 467,1.25,1.337,2.674,2.674,0.0,100.0,2022-09-01,37.380016,127.102539
백현2천,27,소하천,백현동 390,백현동 산61-3,0.56,0.7,1.4,1.4,0.0,100.0,2022-09-01,37.381545,127.096009
쇳골천,28,소하천,금곡동 산9,금곡동 93-5,1.42,1.432,2.864,2.864,0.0,100.0,2022-09-01,37.362938,127.093626
오물천,29,소하천,금곡동 산49-41,금곡동 93-5,0.93,1.672,3.344,1.924,1.42,57.5,2022-09-01,37.36293,127.102239
궁내천,30,소하천,궁내동 산17-1,궁내동 256-8,1.95,1.656,3.312,2.33,0.982,70.4,2022-09-01,37.371166,127.102151
동막1천,31,소하천,동원동 산46,동원동 161-1,0.88,1.229,2.458,1.32,1.138,53.7,2022-09-01,37.351074,127.080466
동막4천,32,소하천,동원동 263,동원동 86-1,0.35,0.404,0.808,0.356,0.452,44.1,2022-09-01,37.346586,127.094768
운중3천,33,소하천,운중동 411-1,운중동 436-8,0.56,0.39,0.78,0.722,0.058,92.6,2022-09-01,37.390937,127.058526
하산천,34,소하천,하산운동 산39-1,하산운동 21-7,1.26,0.737,1.474,1.474,0.0,100.0,2022-09-01,37.389541,127.075965
석운천,35,소하천,석운동 13-1,석운동 92-5,4.4,2.378,4.756,3.84,0.916,80.7,2022-09-01,37.380432,127.0457
발화산리천,36,소하천,석운동 133,석운동 92-5,1.97,1.892,3.784,1.802,1.982,47.6,2022-09-01,37.370463,127.036182
